loss,val_loss,window_size,batch_size,kernal_size,filters,latent_dim,reg used,dropout,training_type,epochs,folds
0.023667146,0.027217539,500,64,3,32,150,2,0.3,0,100,6
0.009829318,0.017133981,100,128,3,64,100,2,0,0,300,3
0.016020967,0.017552955,100,64,3,32,150,2,0,0,100,6
0.015326063,0.017389935,50,64,3,128,100,2,0.5,0,100,3
0.012007273,0.009192328,20,64,4,128,150,2,0.3,0,300,3
0.011475916,0.020455005,100,128,4,64,100,2,0.2,0,100,6
0.014320143,0.014146384,50,128,3,32,150,2,0.2,0,100,6
0.040234376,0.040661424,200,256,2,256,150,1,0,0,300,3
0.051457208,0.051388334,100,64,2,256,150,1,0.2,0,200,3
0.052049514,0.050111849,100,128,3,32,200,1,0.2,0,300,3
0.063700274,0.063908018,50,64,4,64,200,1,0,0,300,6
0.009979052,0.010565121,50,256,3,32,200,2,0.2,0,300,3
0.00332541,0.021650903,50,128,2,64,50,2,0,0,300,3
0.014304346,0.0168413,50,64,4,64,150,2,0.3,0,200,3
0.003311272,0.018011881,200,64,2,64,150,2,0.1,0,200,3
0.013469627,0.019100968,50,128,3,256,100,2,0.3,0,100,6
0.010250529,0.008469494,20,256,4,128,100,2,0.2,0,200,3
0.010845224,0.012746972,30,64,2,256,100,2,0.2,0,100,3
0.063825689,0.063906036,50,256,2,256,100,1,0.1,0,300,3
0.063549422,0.064279981,50,128,3,64,100,1,0.1,0,300,6
0.051106337,0.052057132,100,256,3,64,100,1,0.3,0,100,3
0.040074769,0.040817171,200,128,4,256,150,1,0.3,0,100,6
0.001191847,0.020921651,100,128,3,256,150,2,0.1,0,200,3
0.039866693,0.041349832,200,256,4,256,50,1,0.2,0,300,6
0.076721638,0.076574661,30,256,3,64,150,1,0.3,0,300,3
0.007441162,0.013323165,30,256,3,128,150,2,0.1,0,100,6
0.063657552,0.064040937,50,64,3,64,200,1,0.2,0,300,6
0.004123845,0.003528203,20,128,3,64,200,2,0.1,0,300,3
0.019360099,0.011918092,20,128,3,64,100,2,0.3,0,100,6
0.06351234,0.06432806,50,64,3,128,200,1,0.3,0,300,3
0.076392502,0.077378564,30,128,4,64,100,1,0.1,0,100,6
0.008718512,0.011417477,30,64,4,128,150,2,0.2,0,200,3
0.118214272,0.118717685,10,128,4,128,200,1,0.3,0,300,3
0.009983441,0.009255743,20,128,3,256,100,2,0.2,0,100,6
0.088606603,0.089051679,20,96,3,128,100,1,0.1,0,100,3
0.08875221,0.088741764,20,64,3,256,100,1,0.2,0,300,3
0.004626672,0.007941659,20,64,3,256,150,2,0.1,0,100,6
0.006369121,0.005947175,20,128,3,128,200,2,0.2,0,300,3
0.006576715,0.007626923,20,96,4,128,250,2,0.2,0,200,3
0.003289915,0.00827451,20,64,3,256,200,2,0.1,0,200,6
0.003646572,0.007704043,20,96,3,256,150,2,0.1,0,200,3
0.003542365,0.00533155,20,128,3,128,200,2,0.1,0,300,3
0.006025145,0.004876722,20,128,3,128,200,2,0.2,0,300,6
0.002115151,0.001614082,20,128,3,128,200,2,0.1,1,100,10
0.068438336,0.057005089,20,128,3,128,200,2,0.1,0,1,10
0.074116573,0.060800627,20,128,3,128,200,2,0.1,0,1,10
0.132160902,0.104129158,20,128,3,128,200,2,0.1,0,1,10
0.071363904,0.059431635,20,128,3,128,200,2,0.1,0,1,10
